id,detected_object,timestamp,weather,holiday
1,metal,2025-01-01 02:56:51,rainy,1
2,paper,2025-01-01 21:50:45,rainy,1
3,plastic,2025-01-01 09:30:44,rainy,1
4,metal,2025-01-01 12:18:27,rainy,1
5,plastic,2025-01-01 22:28:02,rainy,1
6,metal,2025-01-01 08:55:23,rainy,1
7,plastic,2025-01-01 07:30:23,rainy,1
8,metal,2025-01-01 09:03:01,rainy,1
9,metal,2025-01-01 00:30:36,rainy,1
10,paper,2025-01-01 11:41:19,rainy,1
11,glass,2025-01-01 07:21:45,rainy,1
12,plastic,2025-01-01 09:26:06,rainy,1
13,paper,2025-01-01 16:20:49,rainy,1
14,glass,2025-01-01 08:58:49,rainy,1
15,paper,2025-01-01 12:17:11,rainy,1
16,metal,2025-01-01 10:33:57,rainy,1
17,organic,2025-01-02 22:46:47,rainy,0
18,plastic,2025-01-02 12:08:04,rainy,0
19,glass,2025-01-02 23:20:22,rainy,0
20,metal,2025-01-02 07:11:15,rainy,0
21,paper,2025-01-02 05:58:02,rainy,0
22,paper,2025-01-02 06:35:37,rainy,0
23,metal,2025-01-02 12:14:19,rainy,0
24,organic,2025-01-03 05:10:05,stormy,0
25,metal,2025-01-03 04:10:00,stormy,0
26,organic,2025-01-03 01:25:34,stormy,0
27,organic,2025-01-03 10:15:45,stormy,0
28,organic,2025-01-03 05:35:17,stormy,0
29,metal,2025-01-04 03:33:58,stormy,0
30,metal,2025-01-04 10:05:14,stormy,0
31,organic,2025-01-04 07:49:08,stormy,0
32,metal,2025-01-04 02:58:36,stormy,0
33,glass,2025-01-04 00:17:22,stormy,0
34,plastic,2025-01-04 10:41:35,stormy,0
35,organic,2025-01-04 09:24:36,stormy,0
36,paper,2025-01-04 16:28:24,stormy,0
37,glass,2025-01-04 03:21:54,stormy,0
38,organic,2025-01-05 15:48:57,stormy,0
39,organic,2025-01-05 08:57:14,stormy,0
40,organic,2025-01-05 19:14:25,stormy,0
41,glass,2025-01-05 14:37:00,stormy,0
42,plastic,2025-01-05 00:59:46,stormy,0
43,plastic,2025-01-05 03:18:01,stormy,0
44,plastic,2025-01-05 06:37:47,stormy,0
45,paper,2025-01-05 02:35:41,stormy,0
46,glass,2025-01-05 16:26:36,stormy,0
47,paper,2025-01-06 13:44:57,sunny,0
48,metal,2025-01-06 08:20:43,sunny,0
49,organic,2025-01-06 23:50:50,sunny,0
50,paper,2025-01-06 15:57:07,sunny,0
51,organic,2025-01-06 13:52:52,sunny,0
52,plastic,2025-01-06 09:25:40,sunny,0
53,glass,2025-01-06 11:02:07,sunny,0
54,paper,2025-01-06 03:55:47,sunny,0
55,organic,2025-01-06 00:07:20,sunny,0
56,paper,2025-01-06 07:05:43,sunny,0
57,plastic,2025-01-06 16:13:05,sunny,0
58,organic,2025-01-06 10:12:18,sunny,0
59,organic,2025-01-06 09:25:27,sunny,0
60,plastic,2025-01-06 01:37:04,sunny,0
61,glass,2025-01-06 17:44:31,sunny,0
62,metal,2025-01-06 00:04:10,sunny,0
63,organic,2025-01-07 02:44:43,cloudy,0
64,metal,2025-01-07 06:00:58,cloudy,0
65,organic,2025-01-07 01:23:04,cloudy,0
66,glass,2025-01-07 08:03:48,cloudy,0
67,organic,2025-01-07 09:26:58,cloudy,0
68,organic,2025-01-07 17:20:24,cloudy,0
69,glass,2025-01-07 16:47:08,cloudy,0
70,glass,2025-01-07 23:01:56,cloudy,0
71,organic,2025-01-07 21:49:33,cloudy,0
72,plastic,2025-01-07 03:12:52,cloudy,0
73,plastic,2025-01-07 09:37:40,cloudy,0
74,paper,2025-01-07 22:07:42,cloudy,0
75,metal,2025-01-07 00:56:44,cloudy,0
76,organic,2025-01-08 05:13:28,rainy,0
77,glass,2025-01-08 19:39:02,rainy,0
78,plastic,2025-01-08 23:18:00,rainy,0
79,organic,2025-01-08 08:42:21,rainy,0
80,paper,2025-01-08 09:14:39,rainy,0
81,plastic,2025-01-08 04:36:27,rainy,0
82,paper,2025-01-08 11:46:33,rainy,0
83,metal,2025-01-09 15:42:56,cloudy,0
84,metal,2025-01-09 23:48:19,cloudy,0
85,plastic,2025-01-09 19:55:13,cloudy,0
86,organic,2025-01-09 02:50:39,cloudy,0
87,organic,2025-01-09 20:23:51,cloudy,0
88,organic,2025-01-09 13:01:20,cloudy,0
89,plastic,2025-01-09 12:00:44,cloudy,0
90,plastic,2025-01-09 18:41:07,cloudy,0
91,glass,2025-01-09 05:05:10,cloudy,0
92,glass,2025-01-09 22:04:34,cloudy,0
93,organic,2025-01-09 08:21:10,cloudy,0
94,plastic,2025-01-09 05:06:52,cloudy,0
95,glass,2025-01-09 21:57:37,cloudy,0
96,paper,2025-01-10 16:48:04,rainy,0
97,plastic,2025-01-10 19:33:51,rainy,0
98,glass,2025-01-10 09:50:30,rainy,0
99,organic,2025-01-10 17:05:51,rainy,0
100,plastic,2025-01-10 07:51:36,rainy,0
101,glass,2025-01-10 12:56:43,rainy,0
102,glass,2025-01-10 08:40:16,rainy,0
103,organic,2025-01-11 18:21:40,misty,0
104,organic,2025-01-11 10:30:38,misty,0
105,glass,2025-01-11 01:17:52,misty,0
106,paper,2025-01-11 19:41:15,misty,0
107,plastic,2025-01-11 19:58:58,misty,0
108,plastic,2025-01-11 06:35:29,misty,0
109,organic,2025-01-11 13:36:04,misty,0
110,glass,2025-01-11 06:50:31,misty,0
111,glass,2025-01-11 06:34:50,misty,0
112,glass,2025-01-11 12:03:12,misty,0
113,organic,2025-01-11 04:21:07,misty,0
114,organic,2025-01-11 20:35:25,misty,0
115,paper,2025-01-11 18:28:35,misty,0
116,paper,2025-01-11 16:41:14,misty,0
117,metal,2025-01-11 05:41:53,misty,0
118,paper,2025-01-12 13:20:26,rainy,0
119,glass,2025-01-12 19:21:55,rainy,0
120,paper,2025-01-12 04:50:58,rainy,0
121,plastic,2025-01-12 10:22:25,rainy,0
122,metal,2025-01-12 02:28:17,rainy,0
123,paper,2025-01-12 11:01:29,rainy,0
124,organic,2025-01-12 19:59:08,rainy,0
125,plastic,2025-01-12 02:43:00,rainy,0
126,metal,2025-01-12 14:54:46,rainy,0
127,organic,2025-01-12 19:02:00,rainy,0
128,plastic,2025-01-12 07:02:15,rainy,0
129,glass,2025-01-13 20:49:19,misty,0
130,metal,2025-01-13 19:09:22,misty,0
131,plastic,2025-01-13 04:34:11,misty,0
132,glass,2025-01-13 16:02:22,misty,0
133,plastic,2025-01-13 23:14:19,misty,0
134,glass,2025-01-13 14:35:14,misty,0
135,metal,2025-01-13 15:36:09,misty,0
136,organic,2025-01-13 01:30:41,misty,0
137,organic,2025-01-13 13:33:02,misty,0
138,paper,2025-01-13 11:57:52,misty,0
139,organic,2025-01-13 22:18:58,misty,0
140,paper,2025-01-14 01:39:23,cloudy,0
141,plastic,2025-01-14 21:13:58,cloudy,0
142,paper,2025-01-14 03:55:54,cloudy,0
143,plastic,2025-01-14 01:57:21,cloudy,0
144,plastic,2025-01-14 18:09:16,cloudy,0
145,plastic,2025-01-14 09:09:59,cloudy,0
146,organic,2025-01-14 21:39:49,cloudy,0
147,plastic,2025-01-14 16:57:06,cloudy,0
148,glass,2025-01-14 05:17:09,cloudy,0
149,metal,2025-01-14 09:04:38,cloudy,0
150,metal,2025-01-14 19:23:50,cloudy,0
151,metal,2025-01-14 03:34:34,cloudy,0
152,paper,2025-01-14 01:28:38,cloudy,0
153,plastic,2025-01-15 23:49:00,misty,0
154,organic,2025-01-15 21:06:00,misty,0
155,organic,2025-01-15 16:55:26,misty,0
156,glass,2025-01-15 00:54:21,misty,0
157,organic,2025-01-15 07:26:31,misty,0
158,plastic,2025-01-15 23:03:00,misty,0
159,organic,2025-01-15 04:14:20,misty,0
160,organic,2025-01-15 04:09:54,misty,0
161,paper,2025-01-15 07:09:22,misty,0
162,paper,2025-01-15 08:38:46,misty,0
163,metal,2025-01-15 09:11:11,misty,0
164,paper,2025-01-16 01:50:48,stormy,0
165,organic,2025-01-16 04:37:18,stormy,0
166,organic,2025-01-16 10:24:43,stormy,0
167,glass,2025-01-16 16:32:34,stormy,0
168,organic,2025-01-16 14:12:31,stormy,0
169,organic,2025-01-17 16:58:31,stormy,0
170,organic,2025-01-17 14:04:12,stormy,0
171,glass,2025-01-17 08:35:02,stormy,0
172,glass,2025-01-17 21:19:15,stormy,0
173,organic,2025-01-17 03:03:09,stormy,0
174,organic,2025-01-18 20:56:13,stormy,0
175,organic,2025-01-18 17:01:11,stormy,0
176,glass,2025-01-18 14:10:44,stormy,0
177,paper,2025-01-18 13:15:05,stormy,0
178,organic,2025-01-18 01:34:54,stormy,0
179,plastic,2025-01-18 03:51:30,stormy,0
180,organic,2025-01-18 13:50:39,stormy,0
181,plastic,2025-01-18 06:27:48,stormy,0
182,glass,2025-01-18 02:59:04,stormy,0
183,paper,2025-01-19 14:48:13,rainy,0
184,paper,2025-01-19 05:28:38,rainy,0
185,metal,2025-01-19 11:26:10,rainy,0
186,paper,2025-01-19 18:22:14,rainy,0
187,organic,2025-01-19 03:21:33,rainy,0
188,paper,2025-01-19 23:36:56,rainy,0
189,plastic,2025-01-19 11:46:45,rainy,0
190,plastic,2025-01-19 15:05:03,rainy,0
191,glass,2025-01-19 11:27:09,rainy,0
192,metal,2025-01-19 02:39:38,rainy,0
193,organic,2025-01-19 09:35:17,rainy,0
194,paper,2025-01-20 23:54:19,cloudy,0
195,organic,2025-01-20 12:25:34,cloudy,0
196,paper,2025-01-20 20:38:09,cloudy,0
197,plastic,2025-01-20 01:27:33,cloudy,0
198,glass,2025-01-20 13:40:40,cloudy,0
199,metal,2025-01-20 16:02:17,cloudy,0
200,plastic,2025-01-20 10:14:16,cloudy,0
201,metal,2025-01-20 08:55:03,cloudy,0
202,glass,2025-01-20 20:36:45,cloudy,0
203,plastic,2025-01-20 19:20:33,cloudy,0
204,paper,2025-01-20 00:01:35,cloudy,0
205,organic,2025-01-20 23:27:32,cloudy,0
206,metal,2025-01-20 10:19:59,cloudy,0
207,paper,2025-01-21 12:40:31,cloudy,0
208,glass,2025-01-21 07:58:09,cloudy,0
209,organic,2025-01-21 16:30:30,cloudy,0
210,paper,2025-01-21 22:11:32,cloudy,0
211,plastic,2025-01-21 18:17:45,cloudy,0
